project_code;stage_name;description;date_start;date_close;is_onhold;U_CoreServices
17047;Construction Administration;\N;5-1-2018;1-31-2019;\N;\N
17047;Project Initiation;\N;2-24-2017;2-24-2017;\N;\N
17047;Schematic Design;\N;2-24-2017;8-31-2017;\N;\N
17047;Contract Documentation;\N;9-1-2017;4-30-2018;\N;\N
17122;Conceptual Masterplanning;\N;5-29-2017;7-4-2017;\N;S010
17122;Detailed Masterplanning;\N;9-18-2017;9-4-2018;\N;S010
17122;Final Masterplanning;\N;8-8-2018;12-15-2018;\N;S010
17122;Urban Design Guidelines;\N;1-6-2019;1-31-2021;\N;S010
17122;Project Initiation;\N;4-11-2018;4-11-2018;\N;S010
17126;Project Initiation;\N;8-17-2017;8-17-2017;\N;S020
17126;Schematic Design;\N;9-1-2017;11-30-2017;\N;S020
17126;Contract Documentation;50%;12-1-2017;1-31-2018;\N;S020
17126;Contract Documentation;100%;2-1-2018;4-30-2018;\N;S020
17126;Construction Administration;\N;5-1-2018;5-31-2019;\N;S020
17150;Construction Administration;\N;12-21-2017;\N;Y;\N
17150;Project Initiation;For Masterplanning;7-18-2017;7-18-2017;Y;\N
17150;Schematic Design;For Architecture;7-18-2017;3-8-2018;Y;\N
17150;Concept Design;For Masterplanning;7-18-2017;3-8-2018;Y;\N
17150;Design Development;For Architecture;7-18-2017;\N;Y;\N
17150;Contract Documentation;For Architecture;7-18-2017;\N;Y;\N
17150;Project Initiation;For Architecture;7-18-2017;\N;Y;\N
17153;Schematic Design;Scope Aborted;11-17-2017;11-17-2017;Y;\N
17153;Project Initiation;\N;11-17-2017;11-17-2017;Y;\N
17153;Contract Documentation;Scope Aborted;11-17-2017;11-17-2017;Y;\N
17153;Construction Administration;Scope Aborted;11-17-2017;11-17-2017;Y;\N
18068;Others;\N;3-13-2018;6-22-2018;\N;\N
18068;Project Initiation;\N;3-13-2018;3-13-2018;\N;\N
18068;Detailed Design;\N;3-13-2018;6-22-2018;\N;\N
18148;Project Initiation;\N;11-19-2018;11-19-2018;\N;S020
18148;Design Development;\N;12-1-2018;1-31-2019;N;S020
18148;Contract Documentation;\N;2-1-2019;3-31-2019;N;S020
18148;Schematic Design;from 18148J;1-1-2019;2-28-2019;N;S020
18148;Project Initiation;from 18148J;1-1-2019;1-1-2019;\N;S020
18165;Project Initiation;\N;8-9-2018;8-9-2018;\N;\N
18165;Code Review;\N;8-9-2018;10-22-2018;\N;\N
18171;Architecture Test-Fit;\N;3-8-2018;3-8-2018;Y;\N
18171;Project Initiation;not in S.O.;3-8-2018;3-8-2018;Y;\N
18213;Project Initiation;\N;10-1-2018;10-1-2018;Y;\N
18213;Others;\N;10-1-2018;10-1-2018;Y;\N
18216;Project Initiation;\N;10-22-2018;10-22-2018;\N;\N
18216;Concept Design;schematic design;10-22-2018;10-31-2018;\N;\N
18216;Construction Administration;\N;11-5-2018;12-7-2018;\N;\N
18217;Test-Fit;\N;1-1-2018;1-1-2018;Y;\N
18217;Project Initiation;\N;1-1-2018;1-1-2018;Y;\N
18229;Project Initiation;\N;10-24-2018;10-24-2018;Y;\N
18229;Schematic Design;\N;10-24-2018;10-24-2018;Y;\N
18229;Design Development;\N;10-24-2018;10-24-2018;Y;\N
18229;Contract Documentation;\N;10-24-2018;10-24-2018;Y;\N
18229;Construction Administration;\N;10-24-2018;10-24-2018;Y;\N
18235;Project Initiation;\N;10-24-2018;10-24-2018;\N;\N
18235;Final Renderings;\N;10-24-2018;12-19-2018;\N;\N
18262;Others;\N;1-4-2019;1-4-2019;Y;\N
18262;Project Initiation;\N;1-4-2019;1-4-2019;Y;\N
18262;Schematic Design;\N;1-4-2019;1-4-2019;Y;\N
18262;Contract Documentation;\N;1-4-2019;1-4-2019;Y;\N
19040;Project Initiation;\N;2-20-2019;2-20-2019;Y;\N
19040;Schematic Design;\N;2-20-2019;2-20-2019;Y;\N
19059;Project Initiation;\N;1-31-2019;1-31-2019;Y;\N
19087;Final Renderings;\N;5-14-2019;5-28-2019;\N;\N
19087;Project Initiation;\N;5-14-2019;5-14-2019;\N;\N
19111;Others;\N;5-22-2019;5-22-2019;Y;\N
19111;Project Initiation;\N;5-22-2019;5-22-2019;Y;\N
19111;Schematic Design;\N;5-22-2019;5-22-2019;Y;\N
19111;Construction Administration;\N;5-22-2019;5-22-2019;Y;\N
19128;Final Renderings;\N;8-1-2019;10-7-2019;\N;\N
19128;Project Initiation;\N;7-5-2019;7-5-2019;\N;\N
19128;Preliminary Renderings;\N;7-5-2019;7-30-2019;\N;\N
19163;Preliminary Design;Aborted;8-1-2019;8-1-2019;Y;\N
19163;Project Initiation;\N;8-1-2019;8-1-2019;Y;\N
19174;Concept Design;\N;10-14-2019;10-14-2019;Y;\N
19174;Schematic Design;\N;10-14-2019;10-14-2019;Y;\N
19174;Design Development;\N;10-14-2019;10-14-2019;Y;\N
19174;Contract Documentation;\N;10-14-2019;10-14-2019;Y;\N
19174;Construction Administration;\N;10-14-2019;10-14-2019;Y;\N
19174;Project Initiation;\N;10-14-2019;10-14-2019;Y;\N
19186;Final Renderings;\N;8-14-2019;8-20-2019;\N;\N
19186;Project Initiation;\N;8-14-2019;8-14-2019;\N;\N
19226;Final Renderings;\N;10-14-2019;10-24-2019;\N;\N
19226;Project Initiation;\N;7-1-2019;7-1-2019;\N;\N
19226;Preliminary Renderings;\N;9-25-2019;10-11-2019;\N;\N
19252;Preliminary Design;\N;2-14-2020;3-31-2020;\N;\N
19252;Project Initiation;\N;2-14-2020;2-14-2020;\N;\N
19265;Preliminary Architecture and Engineering Design;architecture only;12-1-2019;8-31-2021;Y;\N
19265;Project Initiation;XXX;12-1-2019;12-1-2019;Y;\N
20004;Project Initiation;\N;3-6-2020;3-6-2020;Y;\N
20006;Project Initiation;\N;1-9-2020;1-9-2020;Y;\N
20007;Project Initiation;\N;1-1-2020;1-1-2020;Y;\N
20016;Project Initiation;\N;1-1-2020;1-1-2020;Y;\N
20016;Design Development;\N;1-2-2020;1-1-2020;Y;\N
20018;Data Collection and Analysis;no time charges;2-22-2020;3-31-2020;\N;\N
20018;Contract Documentation;Other Stages - Advance Copy;3-31-2020;6-30-2020;\N;\N
20018;Contract Documentation;Other Stages - Printing for OBO;1-1-2021;1-31-2021;\N;\N
20018;Others;Other Stages;2-22-2020;1-31-2021;\N;\N
20018;Project Initiation;Mobilization;2-22-2020;2-22-2020;\N;\N
20027;Nothing Follows;\N;1-1-2020;1-1-2020;Y;\N
20046;Development Permit Alteration Plans;\N;1-1-2020;1-1-2020;Y;\N
20046;Project Initiation;\N;1-1-2020;1-1-2020;Y;\N
20049;Concept Design;\N;1-6-2020;1-6-2020;Y;S020
20049;Schematic Design;\N;1-7-2020;3-6-2020;Y;S020
20049;Design Development;\N;1-6-2020;1-6-2020;Y;\N
20049;Contract Documentation;\N;1-6-2020;1-6-2020;Y;\N
20049;Construction Administration;\N;1-6-2020;1-6-2020;Y;\N
20049;Project Initiation;\N;1-6-2020;1-6-2020;Y;\N
20050;Concept Design;\N;1-1-2020;1-1-2020;Y;S020
20050;Schematic Design;\N;1-7-2020;1-1-2020;Y;S020
20050;Design Development;\N;1-1-2020;1-1-2020;Y;\N
20050;Contract Documentation;\N;1-1-2020;1-1-2020;Y;\N
20050;Construction Administration;\N;1-1-2020;1-1-2020;Y;\N
20050;Project Initiation;\N;1-1-2020;1-1-2020;Y;\N
20051;Final Renderings;\N;2-26-2020;4-24-2020;\N;\N
20051;Project Initiation;\N;2-26-2020;2-26-2020;\N;\N
20057;Project Initiation;\N;1-1-2020;1-1-2020;Y;\N
20058;Project Initiation;\N;1-1-2020;1-1-2020;Y;\N
20063;Project Initiation;\N;1-1-2020;1-1-2020;Y;\N
20064;Project Initiation;\N;1-1-2020;1-1-2020;Y;\N
1309502;Contract Documentation;Plan Revisions;3-1-2020;3-31-2020;\N;S020
1309502;Project Initiation;for deletion;3-1-2020;3-1-2020;\N;S020
1310203;Design Development;\N;5-1-2019;\N;\N;\N
1310203;Contract Documentation;\N;5-1-2019;\N;\N;\N
1310203;Construction Administration;\N;5-1-2019;1-31-2021;\N;\N
1405102;Project Initiation;\N;3-21-2018;3-21-2018;\N;\N
1405102;Contract Documentation;\N;3-21-2018;6-30-2018;\N;\N
1405102;Construction Administration;\N;7-1-2018;12-6-2021;\N;\N
1504101;Project Initiation;\N;3-15-2015;3-15-2015;\N;S020
1504101;Schematic Design;\N;3-16-2015;5-30-2015;\N;S020
1504101;Design Development;\N;6-1-2015;11-14-2015;\N;S020
1504101;Contract Documentation;\N;11-15-2015;4-15-2016;\N;S020
1504101;Construction Administration;\N;4-1-2016;12-31-2016;Y;S020
1506802;Construction Administration;ATC for CD;8-1-2018;5-31-2019;\N;S020
1506802;Project Initiation;XX;10-1-2018;10-1-2018;\N;\N
1506802;Contract Documentation;xx;8-9-2018;5-8-2019;\N;\N
1506803;Contract Documentation;XX;8-13-2018;10-2-2018;\N;\N
1506803;Project Initiation;XX;1-10-2018;1-10-2018;\N;\N
1506803;Construction Administration;ATC FOR CD;8-1-2018;10-31-2018;\N;S020
1506804;Contract Documentation;\N;6-28-2018;6-28-2018;\N;S020
1506804;Project Initiation;XX;2-1-2019;\N;\N;\N
1607302;Contract Documentation;\N;3-23-2018;5-1-2018;\N;\N
1607304;Contract Documentation;\N;2-12-2018;3-26-2018;\N;\N
1702901;Design Development;XXX;1-1-2021;1-1-2021;Y;S020
1702901;Schematic Design;\N;1-2-2018;4-16-2018;N;S020
1702901;Contract Documentation;100% Combined DD/CD;8-12-2021;3-31-2023;Y;S020
1702901;Construction Administration;\N;5-1-2024;4-30-2027;Y;S020
1702901;Project Initiation;\N;1-1-2018;1-1-2018;N;S020
1704401;Project Initiation;\N;2-19-2018;2-19-2018;\N;\N
1704401;Contract Documentation;\N;2-20-2018;3-19-2018;\N;\N
1705602;Project Initiation;\N;4-19-2018;4-19-2018;\N;\N
1705602;Contract Documentation;\N;8-1-2018;12-5-2018;\N;\N
1705602;Construction Administration;\N;1-4-2019;5-22-2019;\N;\N
1706801;Contract Documentation;CFA Adjustment;10-1-2018;12-1-2018;\N;S020
1706801;Project Initiation;XX;10-1-2018;10-1-2018;\N;\N
1706801;Miscellaneous;XX;10-1-2018;12-1-2018;\N;\N
1706801;Concept Design;XX;10-1-2018;12-1-2018;\N;\N
1712201;Final Masterplanning;\N;12-17-2018;1-30-2019;\N;S010
1712201;Project Initiation;\N;12-17-2018;12-17-2018;\N;S010
1712201;Construction Administration;NA;12-6-2018;12-6-2018;\N;\N
1712401;Schematic Design;\N;3-13-2018;5-15-2018;\N;\N
1712401;Project Initiation;\N;3-13-2018;3-13-2018;\N;\N
1712401;Design Development;\N;5-16-2018;6-30-2018;\N;\N
1712402;Schematic Design;\N;7-3-2018;9-10-2019;\N;\N
1712402;Project Initiation;\N;7-3-2018;7-3-2018;\N;\N
1712405;Schematic Design;\N;8-13-2018;10-11-2018;\N;\N
1712405;Project Initiation;\N;8-13-2018;8-13-2018;\N;\N
1712406;Schematic Design;\N;1-3-2019;7-15-2019;\N;S020
1712406;Project Initiation;\N;1-3-2019;1-3-2019;\N;S020
1712406;Concept Design;\N;1-3-2019;7-15-2019;\N;S020
1712407;Schematic Design;\N;1-5-2019;2-5-2019;\N;\N
1712407;Design Development;\N;2-5-2019;1-31-2020;\N;\N
1712407;Project Initiation;\N;1-5-2019;1-5-2019;\N;\N
1713101;Contract Documentation;L Project, MH to 1713105;11-1-2018;11-1-2018;\N;\N
1713101;Project Initiation;L Project, MH to 1713105;11-1-2018;11-1-2018;\N;\N
1713101;Construction Administration;L Project, MH to 1713105;11-1-2018;11-1-2018;\N;\N
1720101;Construction Administration;\N;1-1-2017;1-1-2017;Y;\N
1720101;Project Initiation;\N;1-1-2017;1-1-2017;Y;\N
1722302;Contract Documentation;\N;5-26-2019;7-25-2019;N;\N
1800903;Contract Documentation;\N;6-19-2018;9-14-2018;\N;S020
1800904;Construction Administration;\N;2-1-2020;7-31-2020;\N;S020
1800904;Project Initiation;XXX;2-1-2020;\N;\N;\N
1806902;Contract Documentation;\N;1-29-2020;12-31-2020;\N;\N
1806902;Project Initiation;\N;1-29-2020;1-29-2020;\N;\N
1813601;Project Initiation;\N;11-16-2018;11-16-2018;\N;\N
1813601;Contract Documentation;\N;11-16-2018;1-23-2019;\N;\N
1813602;Project Initiation;\N;1-23-2019;1-23-2019;\N;\N
1813602;Others;\N;1-17-2019;6-10-2019;\N;\N
1912501;Contract Documentation;\N;1-1-2019;1-1-2019;Y;\N
1912501;Construction Administration;\N;1-1-2019;1-1-2019;Y;\N
1922701;Schematic Design;\N;5-27-2020;5-27-2020;Y;\N
1922701;Project Initiation;\N;5-27-2020;5-27-2020;Y;\N
1924201;Design Development;not in scope;11-20-2019;\N;\N;\N
1924201;Contract Documentation;not in scope;11-20-2019;\N;\N;\N
1924201;Construction Administration;not in scope;11-20-2019;\N;\N;\N
1924201;BIM LOD 300 Architecture and Structural Modelling;not in scope;11-20-2019;\N;\N;\N
1924201;BIM LOD 300 MEPF Modelling;not in scope;11-20-2019;\N;\N;\N
1924201;Schematic Design;Only Scope is SD;11-20-2019;2-11-2020;\N;\N
1924201;Project Initiation;\N;11-20-2019;11-20-2019;\N;\N
15057G;BIM LOD 300 Architecture and Structural Modelling;\N;2-1-2018;2-28-2018;\N;\N
15057G;BIM LOD 300 MEPF Modelling;\N;3-1-2018;4-30-2018;\N;\N
15057G;Clash Detection and Resolution;\N;5-1-2018;5-31-2018;\N;\N
15057G;2D Combined Services Drawings;\N;6-1-2018;7-31-2018;\N;\N
16010;Project Initiation;\N;1-4-2016;1-4-2016;\N;\N
16010;Schematic Design;\N;1-4-2016;4-15-2016;\N;\N
16010;Contract Documentation;\N;4-18-2016;8-19-2016;\N;\N
16010;Construction Administration;\N;8-22-2016;7-21-2017;\N;\N
17131H01;Construction Administration;\N;6-1-2020;12-31-2020;\N;S020
17131H01;Project Initiation;XXX;6-1-2020;6-1-2020;\N;\N
17145;Final Masterplanning;\N;12-12-2017;\N;\N;\N
17145;Project Initiation;\N;12-12-2017;12-12-2017;\N;\N
17145;Conceptual Masterplanning;\N;12-12-2017;\N;\N;\N
17185;Project Initiation;not is S.O.;8-25-2017;8-25-2017;\N;S010
17185;Visioning and Options Generation;\N;8-25-2017;12-22-2017;\N;S010
17185;Conceptual Masterplanning;\N;1-1-2018;12-22-2018;\N;S010
17185;Final Masterplanning;\N;1-1-2019;9-30-2019;\N;S010
17212;Schematic Design;\N;2-12-2019;\N;\N;\N
17212;Project Initiation;\N;2-12-2019;2-12-2019;\N;\N
17212;Concept Design;\N;2-12-2019;\N;\N;\N
18016J;Design Development;\N;9-18-2019;9-18-2019;Y;\N
18016J;Project Initiation;\N;9-18-2019;9-18-2019;Y;\N
18051;Data Collection and Analysis;\N;2-26-2019;2-26-2019;Y;\N
18051;Visioning and Options Generation;\N;2-26-2019;2-26-2019;Y;\N
18051;Conceptual Masterplanning;\N;2-26-2019;2-26-2019;Y;\N
18051;Final Masterplanning;\N;2-26-2019;2-26-2019;Y;\N
18051;Marketing Collaterals;\N;2-26-2019;2-26-2019;Y;\N
18051;Others;\N;2-26-2019;2-26-2019;Y;\N
18051;Project Initiation;\N;2-26-2019;2-26-2019;Y;\N
18152;Project Initiation;Mobi;7-31-2018;7-31-2018;\N;S010
18152;Conceptual Masterplanning;Concept MP;8-1-2018;9-30-2018;\N;S010
18152;Final Masterplanning;Final MP;10-1-2018;10-31-2018;\N;S010
18163;Final Masterplanning;\N;8-1-2018;9-30-2018;\N;\N
18163;Others;POST PROJECT;8-1-2018;\N;\N;\N
18163;Project Initiation;\N;8-1-2018;8-1-2018;\N;S010
18163;Conceptual Masterplanning;\N;7-23-2018;9-30-2018;\N;S010
19088;Preliminary Design;Project Aborted;8-1-2018;8-1-2018;Y;\N
19088;Project Initiation;\N;8-1-2018;8-1-2018;Y;\N
19088;Detailed Design;\N;8-1-2018;8-1-2018;Y;\N
19088;Construction Administration;\N;8-1-2018;8-1-2018;Y;\N
19144;Schematic Design;\N;8-5-2019;10-1-2019;\N;S020
19144;Project Initiation;\N;8-5-2019;\N;\N;S020
19166;Project Initiation;\N;7-29-2019;7-29-2019;Y;\N
19198J;Project Initiation;\N;11-26-2019;11-26-2019;Y;\N
19198J;Preliminary Architecture and Engineering Design;\N;11-26-2019;11-26-2019;Y;\N
19198J;Detailed Architecture and Engineering Design;\N;11-26-2019;11-26-2019;Y;\N
19198J;Construction Administration;\N;11-26-2019;11-26-2019;Y;\N
19265J;Project Initiation;\N;1-1-2020;1-1-2020;Y;S030
20096;Concept Design;\N;1-1-2020;1-1-2020;Y;\N
20096;Schematic Design;\N;1-1-2020;1-1-2020;Y;\N
20096;Design Development;\N;1-1-2020;1-1-2020;Y;\N
20096;Contract Documentation;\N;1-1-2020;1-1-2020;Y;\N
20096;Construction Administration;\N;1-1-2020;1-1-2020;Y;\N
20096;Others;\N;1-1-2020;1-1-2020;Y;\N
20096;Project Initiation;\N;1-1-2020;1-1-2020;Y;\N
18138;Design Development;50% DD/CD;11-16-2018;2-15-2019;\N;S020
18138;Contract Documentation;100% DD/CD;2-16-2019;5-15-2019;N;S020
18138;Construction Administration;Tower1;1-1-2024;12-31-2026;Y;S020
18138;Schematic Design;\N;8-16-2018;11-15-2018;\N;S020
18138;Construction Administration;Tower2;1-1-2025;12-31-2026;Y;S020
18138;Others;N/A;8-15-2018;8-15-2018;\N;S020
18138;Project Initiation;\N;8-15-2018;8-15-2018;\N;S020
18188;Contract Documentation;\N;6-15-2019;10-14-2019;\N;\N
18188;Construction Administration;\N;7-1-2020;6-30-2021;\N;\N
18188;Design Development;\N;3-15-2019;6-14-2019;\N;\N
18188;Schematic Design;\N;1-15-2019;3-14-2019;\N;\N
18188;Project Initiation;\N;1-7-2019;1-7-2019;\N;\N
14119;Contract Documentation;\N;8-16-2017;12-15-2017;\N;\N
14119;Construction Administration;\N;12-16-2017;4-30-2019;\N;\N
14119;Project Initiation;\N;4-9-2017;4-9-2017;\N;\N
14119;Schematic Design;\N;4-10-2017;6-15-2017;\N;\N
14119;Design Development;\N;6-16-2017;8-15-2017;\N;\N
16028;Contract Documentation;\N;5-1-2018;5-31-2018;\N;S020
16028;Construction Administration;\N;10-1-2018;10-1-2018;\N;S020
16028;Project Initiation;\N;2-24-2016;2-24-2016;\N;S020
16028;Design Development;\N;4-1-2018;4-30-2018;\N;S020
16028;Schematic Design;\N;2-25-2016;3-24-2016;\N;S020
17201;Contract Documentation;\N;11-1-2017;2-28-2018;N;\N
17201;Construction Administration;\N;3-1-2018;2-29-2020;\N;\N
17201;Design Development;Incorporated with SD;10-1-2017;10-31-2017;\N;\N
17201;Schematic Design;SD/DD;10-1-2017;10-31-2017;\N;\N
17201;Project Initiation;\N;10-1-2017;10-1-2017;\N;\N
16035;Design Development;\N;5-16-2016;7-15-2016;\N;S030
16035;Contract Documentation;\N;7-16-2016;10-15-2016;\N;S030
16035;Construction Administration;Start of CS (1)EGD (6 months)ID, LA, Spl Lighting. (12 months)Facade (24 months;7-1-2019;6-30-2021;\N;S070
16035;Project Initiation;\N;1-9-2016;1-9-2016;\N;S030
16035;Detailed Design;\N;11-28-2018;11-28-2018;\N;\N
16035;Schematic Design;\N;3-16-2016;5-15-2016;\N;S030
16035;Construction Administration;N/A;6-30-2021;6-30-2021;\N;\N
16035;Construction Administration;N/A;7-1-2019;7-1-2019;\N;\N
